From,To,Distance,Duration
White Monastery,Phulchoki,27.8 km,1 hour 11 mins
White Monastery,Kulekhani,39.4 km,1 hour 40 mins
White Monastery,Namo Buddha,39.1 km,1 hour 27 mins
White Monastery,Jump KTM,3.7 km,13 mins
White Monastery,Art in Paradise Nepal,8.0 km,24 mins
White Monastery,Whoopee Land,14.6 km,42 mins
White Monastery,Kathmandu Fun Park,7.0 km,20 mins
White Monastery,Outdoor Adventure Centre Nepal,7.1 km,23 mins
Royal Botanical Gardens,Shivapuri Nagarjun National Park,51.2 km,2 hours 16 mins
Royal Botanical Gardens,Bhaktapur Durbar Square,28.0 km,1 hour 2 mins
Royal Botanical Gardens,Phulchoki,12.0 km,37 mins
Royal Botanical Gardens,Kulekhani,41.0 km,1 hour 38 mins
Royal Botanical Gardens,Namo Buddha,49.2 km,1 hour 46 mins
Royal Botanical Gardens,Jump KTM,21.4 km,51 mins
Royal Botanical Gardens,Art in Paradise Nepal,17.1 km,42 mins
Royal Botanical Gardens,Whoopee Land,16.5 km,42 mins
Royal Botanical Gardens,Kathmandu Fun Park,17.6 km,44 mins
Royal Botanical Gardens,Outdoor Adventure Centre Nepal,19.2 km,47 mins
Basantapur Tower,Shivapuri Nagarjun National Park,34.0 km,1 hour 41 mins
Basantapur Tower,Bhaktapur Durbar Square,20.9 km,49 mins
Basantapur Tower,Phulchoki,23.6 km,1 hour 1 min
Basantapur Tower,Kulekhani,32.7 km,1 hour 21 mins
Basantapur Tower,Namo Buddha,42.1 km,1 hour 33 mins
Basantapur Tower,Jump KTM,7.0 km,21 mins
Basantapur Tower,Art in Paradise Nepal,0.8 km,5 mins
Basantapur Tower,Whoopee Land,6.3 km,23 mins
Basantapur Tower,Kathmandu Fun Park,2.5 km,9 mins
Basantapur Tower,Outdoor Adventure Centre Nepal,2.9 km,10 mins
Khawalung Monastery,Shivapuri Nagarjun National Park,31.1 km,1 hour 33 mins
Khawalung Monastery,Bhaktapur Durbar Square,19.0 km,47 mins
Khawalung Monastery,Phulchoki,29.0 km,1 hour 14 mins
Khawalung Monastery,Kulekhani,40.0 km,1 hour 42 mins
Khawalung Monastery,Namo Buddha,41.1 km,1 hour 33 mins
Khawalung Monastery,Jump KTM,2.3 km,10 mins
Khawalung Monastery,Art in Paradise Nepal,8.5 km,26 mins
Khawalung Monastery,Whoopee Land,15.2 km,44 mins
Khawalung Monastery,Kathmandu Fun Park,7.6 km,23 mins
Khawalung Monastery,Outdoor Adventure Centre Nepal,7.2 km,23 mins
Patan Durbar Square,Shivapuri Nagarjun National Park,37.0 km,1 hour 48 mins
Patan Durbar Square,Bhaktapur Durbar Square,17.2 km,40 mins
Patan Durbar Square,Phulchoki,19.2 km,49 mins
Patan Durbar Square,Kulekhani,30.9 km,1 hour 17 mins
Patan Durbar Square,Namo Buddha,38.5 km,1 hour 24 mins
Patan Durbar Square,Jump KTM,8.7 km,25 mins
Patan Durbar Square,Art in Paradise Nepal,3.8 km,13 mins
Patan Durbar Square,Whoopee Land,6.4 km,21 mins
Patan Durbar Square,Kathmandu Fun Park,4.3 km,14 mins
Patan Durbar Square,Outdoor Adventure Centre Nepal,5.9 km,18 mins
Nagarkot,Shivapuri Nagarjun National Park,58.8 km,2 hours 36 mins
Nagarkot,Bhaktapur Durbar Square,15.5 km,38 mins
Nagarkot,Phulchoki,42.1 km,1 hour 41 mins
Nagarkot,Kulekhani,55.3 km,2 hours 12 mins
Nagarkot,Namo Buddha,30.9 km,1 hour 10 mins
Nagarkot,Jump KTM,29.0 km,1 hour 10 mins
Nagarkot,Art in Paradise Nepal,26.6 km,1 hour 4 mins
Nagarkot,Whoopee Land,30.8 km,1 hour 15 mins
Nagarkot,Kathmandu Fun Park,26.6 km,1 hour 4 mins
Nagarkot,Outdoor Adventure Centre Nepal,28.7 km,1 hour 9 mins
Chandragiri,Shivapuri Nagarjun National Park,39.8 km,1 hour 58 mins
Chandragiri,Bhaktapur Durbar Square,28.7 km,1 hour 8 mins
Chandragiri,Phulchoki,29.8 km,1 hour 12 mins
Chandragiri,Kulekhani,38.4 km,1 hour 32 mins
Chandragiri,Namo Buddha,49.9 km,1 hour 52 mins
Chandragiri,Jump KTM,17.5 km,46 mins
Chandragiri,Art in Paradise Nepal,10.8 km,30 mins
Chandragiri,Whoopee Land,9.5 km,29 mins
Chandragiri,Kathmandu Fun Park,12.3 km,34 mins
Chandragiri,Outdoor Adventure Centre Nepal,11.9 km,33 mins
Shivapuri Nagarjun National Park,Shivapuri Nagarjun National Park,1 m,1 min
Shivapuri Nagarjun National Park,Bhaktapur Durbar Square,50.6 km,2 hours 14 mins
Shivapuri Nagarjun National Park,Phulchoki,58.0 km,2 hours 36 mins
Shivapuri Nagarjun National Park,Kulekhani,65.6 km,2 hours 55 mins
Shivapuri Nagarjun National Park,Namo Buddha,72.6 km,2 hours 59 mins
Shivapuri Nagarjun National Park,Jump KTM,29.9 km,1 hour 27 mins
Shivapuri Nagarjun National Park,Art in Paradise Nepal,34.4 km,1 hour 42 mins
Shivapuri Nagarjun National Park,Whoopee Land,39.2 km,1 hour 56 mins
Shivapuri Nagarjun National Park,Kathmandu Fun Park,34.0 km,1 hour 40 mins
Shivapuri Nagarjun National Park,Outdoor Adventure Centre Nepal,31.8 km,1 hour 35 mins
Bhaktapur Durbar Square,Shivapuri Nagarjun National Park,50.4 km,2 hours 17 mins
Bhaktapur Durbar Square,Bhaktapur Durbar Square,1 m,1 min
Bhaktapur Durbar Square,Phulchoki,33.7 km,1 hour 23 mins
Bhaktapur Durbar Square,Kulekhani,46.9 km,1 hour 54 mins
Bhaktapur Durbar Square,Namo Buddha,31.0 km,1 hour 11 mins
Bhaktapur Durbar Square,Jump KTM,20.6 km,52 mins
Bhaktapur Durbar Square,Art in Paradise Nepal,18.2 km,46 mins
Bhaktapur Durbar Square,Whoopee Land,22.4 km,57 mins
Bhaktapur Durbar Square,Kathmandu Fun Park,18.2 km,46 mins
Bhaktapur Durbar Square,Outdoor Adventure Centre Nepal,20.3 km,50 mins
Phulchoki,Shivapuri Nagarjun National Park,58.0 km,2 hours 37 mins
Phulchoki,Bhaktapur Durbar Square,34.7 km,1 hour 23 mins
Phulchoki,Phulchoki,1 m,1 min
Phulchoki,Kulekhani,45.7 km,1 hour 54 mins
Phulchoki,Namo Buddha,55.9 km,2 hours 7 mins
Phulchoki,Jump KTM,28.2 km,1 hour 11 mins
Phulchoki,Art in Paradise Nepal,23.4 km,1 hour 1 min
Phulchoki,Whoopee Land,21.2 km,57 mins
Phulchoki,Kathmandu Fun Park,23.8 km,1 hour 2 mins
Phulchoki,Outdoor Adventure Centre Nepal,25.5 km,1 hour 6 mins
Kulekhani,Shivapuri Nagarjun National Park,65.3 km,2 hours 56 mins
Kulekhani,Bhaktapur Durbar Square,47.9 km,1 hour 53 mins
Kulekhani,Phulchoki,45.7 km,1 hour 53 mins
Kulekhani,Kulekhani,1 m,1 min
Kulekhani,Namo Buddha,69.1 km,2 hours 37 mins
Kulekhani,Jump KTM,40.0 km,1 hour 39 mins
Kulekhani,Art in Paradise Nepal,33.7 km,1 hour 24 mins
Kulekhani,Whoopee Land,27.0 km,1 hour 8 mins
Kulekhani,Kathmandu Fun Park,33.6 km,1 hour 26 mins
Kulekhani,Outdoor Adventure Centre Nepal,35.2 km,1 hour 27 mins
Namo Buddha,Shivapuri Nagarjun National Park,72.6 km,3 hours 2 mins
Namo Buddha,Bhaktapur Durbar Square,31.0 km,1 hour 11 mins
Namo Buddha,Phulchoki,55.8 km,2 hours 7 mins
Namo Buddha,Kulekhani,69.1 km,2 hours 38 mins
Namo Buddha,Namo Buddha,1 m,1 min
Namo Buddha,Jump KTM,42.8 km,1 hour 36 mins
Namo Buddha,Art in Paradise Nepal,40.3 km,1 hour 30 mins
Namo Buddha,Whoopee Land,44.6 km,1 hour 41 mins
Namo Buddha,Kathmandu Fun Park,40.4 km,1 hour 30 mins
Namo Buddha,Outdoor Adventure Centre Nepal,42.4 km,1 hour 35 mins
Jump KTM,Shivapuri Nagarjun National Park,29.9 km,1 hour 27 mins
Jump KTM,Bhaktapur Durbar Square,20.8 km,48 mins
Jump KTM,Phulchoki,28.1 km,1 hour 10 mins
Jump KTM,Kulekhani,38.2 km,1 hour 36 mins
Jump KTM,Namo Buddha,42.7 km,1 hour 32 mins
Jump KTM,Jump KTM,1 m,1 min
Jump KTM,Art in Paradise Nepal,6.9 km,19 mins
Jump KTM,Whoopee Land,13.6 km,37 mins
Jump KTM,Kathmandu Fun Park,5.9 km,17 mins
Jump KTM,Outdoor Adventure Centre Nepal,5.8 km,16 mins
Art in Paradise Nepal,Shivapuri Nagarjun National Park,33.6 km,1 hour 39 mins
Art in Paradise Nepal,Bhaktapur Durbar Square,20.5 km,46 mins
Art in Paradise Nepal,Phulchoki,24.7 km,1 hour 1 min
Art in Paradise Nepal,Kulekhani,35.5 km,1 hour 25 mins
Art in Paradise Nepal,Namo Buddha,41.7 km,1 hour 30 mins
Art in Paradise Nepal,Jump KTM,6.6 km,18 mins
Art in Paradise Nepal,Art in Paradise Nepal,1 m,1 min
Art in Paradise Nepal,Whoopee Land,9.1 km,26 mins
Art in Paradise Nepal,Kathmandu Fun Park,2.0 km,6 mins
Art in Paradise Nepal,Outdoor Adventure Centre Nepal,2.4 km,8 mins
Whoopee Land,Shivapuri Nagarjun National Park,39.0 km,1 hour 55 mins
Whoopee Land,Bhaktapur Durbar Square,23.4 km,55 mins
Whoopee Land,Phulchoki,21.2 km,55 mins
Whoopee Land,Kulekhani,27.0 km,1 hour 7 mins
Whoopee Land,Namo Buddha,44.7 km,1 hour 39 mins
Whoopee Land,Jump KTM,13.7 km,38 mins
Whoopee Land,Art in Paradise Nepal,7.4 km,23 mins
Whoopee Land,Whoopee Land,1 m,1 min
Whoopee Land,Kathmandu Fun Park,8.5 km,26 mins
Whoopee Land,Outdoor Adventure Centre Nepal,8.9 km,26 mins
Kathmandu Fun Park,Shivapuri Nagarjun National Park,34.7 km,1 hour 41 mins
Kathmandu Fun Park,Bhaktapur Durbar Square,19.6 km,43 mins
Kathmandu Fun Park,Phulchoki,23.8 km,59 mins
Kathmandu Fun Park,Kulekhani,34.6 km,1 hour 22 mins
Kathmandu Fun Park,Namo Buddha,40.8 km,1 hour 27 mins
Kathmandu Fun Park,Jump KTM,6.1 km,18 mins
Kathmandu Fun Park,Art in Paradise Nepal,1.5 km,5 mins
Kathmandu Fun Park,Whoopee Land,8.2 km,23 mins
Kathmandu Fun Park,Kathmandu Fun Park,1 m,1 min
Kathmandu Fun Park,Outdoor Adventure Centre Nepal,3.6 km,10 mins
Outdoor Adventure Centre Nepal,Shivapuri Nagarjun National Park,31.5 km,1 hour 33 mins
Outdoor Adventure Centre Nepal,Bhaktapur Durbar Square,21.3 km,48 mins
Outdoor Adventure Centre Nepal,Phulchoki,25.6 km,1 hour 3 mins
Outdoor Adventure Centre Nepal,Kulekhani,35.4 km,1 hour 25 mins
Outdoor Adventure Centre Nepal,Namo Buddha,42.6 km,1 hour 32 mins
Outdoor Adventure Centre Nepal,Jump KTM,5.2 km,14 mins
Outdoor Adventure Centre Nepal,Art in Paradise Nepal,3.3 km,10 mins
Outdoor Adventure Centre Nepal,Whoopee Land,9.1 km,26 mins
Outdoor Adventure Centre Nepal,Kathmandu Fun Park,2.9 km,8 mins
Outdoor Adventure Centre Nepal,Outdoor Adventure Centre Nepal,1 m,1 min
